filename,kind,size_bytes,sha256,public_repo_status,reason
build_web_english_clean_dataset.json,facebook_raw,1222743,8b89c87d11d06c3bae49468347f0a8a7df971ca4d80edcd8541270ebfb17be3a,withheld_public,raw social corpus; may contain personal/user-generated content
build_web_english_posts_and_comments.md,facebook_raw,1026342,96a9be837bcbae6c2406bf73a7b4ceb2179a72a0b9efa99a31833044546047f3,withheld_public,raw social corpus; may contain personal/user-generated content
clean_dataset.json,facebook_raw_duplicate,1222743,8b89c87d11d06c3bae49468347f0a8a7df971ca4d80edcd8541270ebfb17be3a,withheld_public,byte-duplicate of raw social corpus
posts_and_comments.md,facebook_raw_duplicate,1026342,96a9be837bcbae6c2406bf73a7b4ceb2179a72a0b9efa99a31833044546047f3,withheld_public,byte-duplicate of raw social corpus
ALL_DISCOVERED_POSTS_INDEX.md,facebook_discovery,585837,761479c9abc024bb028facf74b9e6c5f9b27095b408393f5dd175a4256a4a68c,withheld_public,contains discovered social post references/content
ALL_FACEBOOK_POSTS_AND_COMMENTS.md,facebook_raw,2879827,cb9db37d324ac91fd844f72119e27dee4fbb9f224dbcfd2e1949845bf26e60ad,withheld_public,raw social corpus; may contain personal/user-generated content
ALL_FACEBOOK_DATASET.json,facebook_raw,27546184,a878360a00eedc80ab93b6f242e6e27ed33bb81100ac6ece0e2dabc47bf6560c,withheld_public,raw social corpus; may contain personal/user-generated content
index(1).json,facebook_discovery_raw,12641561,92c86df1f05f1cb3aa646e461a7cd9ece2a54e095f91180bcbae6d080ea3d55e,withheld_public,"contains 2,486 discovered post bodies/metadata"
facebook_corpus_posts.zip,facebook_raw_archive,4535685,7e1c2cf39cccb06fb91ac45bfb9baa3c65ee6b2df1e9f9a92759d06a8dc6d180,withheld_public,raw social corpus archive; may contain personal/user-generated content
pdfs.zip,copyrighted_reference_archive,142779854,a4329cfaf3bce39804ffb0ee072931b4ab78844aa95b8f2598489976dfccd7a8,withheld_public,contains third-party books/PDFs; redistribution rights not established
materials_catalog.json,web_discovery_catalog,1215255,0056337521dcd25e49df3ee34e6fa807cf6bc442f5903844d8207910758449cf,withheld_public,contains external snippets/metadata; keep as source-local until rights/provenance review
DANH_MUC_TAI_LIEU.md,web_discovery_catalog,291911,0562a8033fa95787580b706517c5383a8b506fe2eb9e344cf0a344dff57a6269,withheld_public,contains external discovery material/links; source-local until review
NEP_FINAL_INTEGRATED_9FILES_BUNDLE.zip,processed_archive,14042529,c0715eb3f016bbc55c0ac74e85bdd4d2c52842b0b509d4b3d8f16dd3ee3ec0d8,withheld_public,bundle includes raw/source materials not suitable for public redistribution
NEP_PDF_CORPUS_PROCESSED.zip,processed_archive,39601,78f7b0e9370dbe8fcc92116e6e13c3d883daacfc77b6658f692c8d581aac1132,withheld_public,bundle derived from third-party PDFs; publish only selected metadata/analysis
NEP_MATERIALS_CATALOG_PROCESSED.zip,processed_archive,110805,2bd77cec3ac6fa12d425a12a379f4bfe4f6eee38b433f8623ad9d2b9aed2e5e5,withheld_public,bundle may include external snippets/links; publish selected summaries only
